word,Defination
abate,To enter upon and unlawfully seize  after the owner has died thus preventing an heir from taking possession of it
aberrant,A group individual or structure that deviates from the usual or natural type especially with an atypical chromosome number
abeyance,Expectancy a condition when an ownership of real property is undetermined lapse in succession of ownership of estate or title
abscond,To flee often secretly to steal away particularly to avoid arrest or prosecution
abstemious,Refraining from freely consuming food or strong drink sparing in diet abstinent temperate
admonish,To inform or notify of a fault to rebuke gently or kindly but seriously to tell off
adulterate,Tending to commit adultery relating to or being the product of adultery adulterous
aesthetic,The artistic motifs defining a collection of things especially works of art more broadly their vibe
aggregate,Solid particles of low aspect ratio added to a composite material as distinguished from the matrix and any fibers or reinforcements especially the gravel and sand added to concrete
alacrity,Eagerness liveliness enthusiasm
alleviate,To reduce or lessen the severity of a pain or difficulty
amalgamate,To combine  by identifying respective isomorphic subgroups
ambiguous,Hesitant uncertain not taking sides
ambivalence,The coexistence of opposing attitudes or feelings  towards a person object or idea
attitudes,plural of attitude
ameliorate,To make better or improve something perceived to be in a negative condition
anachronism,A chronological mistake the erroneous dating of an event circumstance or object
analogous,Functionally similar but arising through convergent evolution rather than being homologous
anarchy,Anarchism the political theory that a community is best organized by the voluntary cooperation of individuals rather than by a government which is regarded as being coercive by nature
anomalous,Deviating from the normal marked by incongruity or contradiction aberrant or abnormal
antipathy,A feeling of dislike  repugnance or distaste
apathy,Lack of emotion or motivation lack of interest or enthusiasm towards something disinterest
appease,To make quiet to calm to reduce to a state of peace to dispel
apprise,To notify or to make aware to inform
approbation,The act of approving an assenting to the propriety of a thing with some degree of pleasure or satisfaction approval sanction commendation or official recognition
arduous,Needing or using up much energy testing powers of endurance
artless,Lacking art knowledge or skill uncultured and ignorant
ascetic,Characterized by rigorous self-denial or self-discipline austere abstinent involving a withholding of physical pleasure
assiduous,Hard-working diligent or regular  industrious
attenuate,To become less dense as a result of the conversion of sugar to alcohol
audacious,Showing willingness to take bold risks recklessly daring
austere,Lacking decoration trivial not extravagant or gaudy
aver,To assert the truth of  to affirm  with confidence to declare  in a positive manner
banal,Common in a boring way to the point of being predictable containing nothing new or fresh
belie,To show evince or demonstrate  to be present particularly something deemed contradictory or ironic
bolster,A short horizontal structural timber between a post and a beam for enlarging the bearing area of the post and/or reducing the span of the beam
bombastic,showy in speech and given to using flowery or elaborate terms grandiloquent pompous
boorish,Behaving as a boor rough in manners
burgeon,To swell to the point of bursting
burnish,To shine forth to brighten to become smooth and glossy as from swelling or filling out hence to grow large
capricious,Impulsive and unpredictable determined by chance impulse or whim
castigation,Corrective punishment chastisement reproof
catalyst,A substance that increases the rate of a chemical reaction without being consumed in the process
caustic,Any substance or means which applied to animal or other organic tissue burns corrodes or destroys it by chemical action an escharotic
chicanery,Deception by use of trickery quibbling or subterfuge
