Word,Defination
abase,To lower as in condition in life office rank etc
abash,To make ashamed to embarrass to destroy the self-possession of as by exciting suddenly a consciousness of guilt mistake or inferiority to disconcert to discomfit
abate,To enter upon and unlawfully seize  after the owner has died thus preventing an heir from taking possession of it
abbreviate,To reduce a word or phrase by means of contraction or omission to a shorter recognizable form
abdicate,To surrender renounce or relinquish as sovereign power to withdraw definitely from filling or exercising as a high office station dignity to fail to fulfill responsibility for
aberrant,A group individual or structure that deviates from the usual or natural type especially with an atypical chromosome number
aberration,The convergence to different foci by a lens or mirror of rays of light emanating from one and the same point or the deviation of such rays from a single focus a defect in a focusing mechanism that prevents the intended focal point
abet,To urge on stimulate  something desirable
abeyance,Expectancy a condition when an ownership of real property is undetermined lapse in succession of ownership of estate or title
abhor,To feel horror disgust or dislike  to be contrary or averse  construed with from
abide,To stay to continue in a place to remain stable or fixed in some state or condition to be left
abject,Of a person: cast down in hope or spirit showing utter helplessness hopelessness or resignation also grovelling ingratiating servile
abjure,To reject with solemnity to abandon forever to repudiate to disclaim
ablution,The ritual consumption by the deacon or priest of leftover sacred wine of host after the Communion
abnegation,A denial a renunciation denial of desire or self-interest
abode,To bode to foreshow to presage
abolish,To put an end to or destroy as a physical object to wipe out
abominable,Worthy of or causing abhorrence as a thing of evil omen odious in the utmost degree very hateful detestable loathsome execrable
abominate,To feel disgust towards to loathe or detest thoroughly to hate in the highest degree as if with religious dread
aboriginal,First according to historical or scientific records original indigenous primitive
abortive,Someone or something born or brought forth prematurely an abortion
abrasive,A substance or material such as sandpaper pumice or emery used for cleaning smoothing or polishing
abridge,To shorten or contract by using fewer words yet retaining the sense to epitomize to condense[First attested in 1384
abrogate,To annul by an authoritative act to abolish by the authority of the maker or her or his successor to repeal — applied to the repeal of laws decrees ordinances the abolition of customs etc
abscission,The natural separation of a part at a predetermined location such as a leaf at the base of the petiole
abscond,To flee often secretly to steal away particularly to avoid arrest or prosecution
absolute,"Not immediately dependent on the other parts of the sentence not in a syntactical relation with other parts of a text or qualifying the text as a whole rather than any single word in it like ""it being over"" in ""it being over she left"""
absolve,To pronounce free from or give absolution for a penalty blame or guilt
abstain,Deliberately refrain from casting one's vote at a meeting where one is present
abstemious,Refraining from freely consuming food or strong drink sparing in diet abstinent temperate
abstinence,The act or practice of abstaining refraining from indulging a desire or appetite
abstract,To conceptualize an ideal subgroup by means of the generalization of an attribute as follows: by apprehending an attribute inherent to one individual then separating that attribute and contemplating it by itself then conceiving of that attribute as a general quality then despecifying that conceived quality with respect to several or many individuals and by then ideating a group composed of those individuals perceived to possess said quality
abstruse,Difficult to comprehend or understand obscure
abusive,Prone to treat someone badly by coarse insulting words or other maltreatment vituperative reproachful scurrilous
abut,To touch by means of a mutual border edge or end to border on to lie adjacent  to be contiguous  [First attested around 1350 to 1470
abysmal,Pertaining to or resembling an abyss
abyss,A bottomless or unfathomed depth gulf or chasm hence any deep immeasurable any void space
academic,A senior member of an academy college or university a person who attends an academy a person engaged in scholarly pursuits one who is academic in practice
accede,To give one's adhesion to join up with  to become part of
accelerate,To cause to move faster to quicken the motion of to add to the speed of
accessible,Built or designed as to be usable by people with disabilities
accessory,Having a secondary supplementary or subordinate function by accompanying as a subordinate aiding in a secondary way being additional contributing or being contributory
acclaim,To salute or praise with great approval to compliment to applaud to welcome enthusiastically
acclimate,To adjust to a new environment not necessarily a wild natural earthy one
acclivity,A slope or inclination of the earth as the side of a hill considered as ascending in opposition to declivity or descending an upward slope ascent
accolade,Written Presidential certificate recognizing service by personnel who died or were wounded in action between 1917 and 1918 or who died in service between 1941 and 1947 or died of wounds received in Korea between June 27 1950 and July 27 1954
accommodate,To show the correspondence of to apply or make suit by analogy to adapt or fit as teachings to accidental circumstances statements to facts etc
accomplice,An associate in the commission of a crime a participator in an offense whether a principal or an accessory
accord,An agreement between parties in controversy by which satisfaction for an injury is stipulated and which when executed prevents a lawsuit
accost,To approach and speak to boldly or aggressively as with a demand or request
accoutre,Alternative form of accouter
accretion,The adhering of property to something else by which the owner of one thing becomes possessed of a right to another generally gain of land by the washing up of sand or sail from the sea or a river or by a gradual recession of the water from the usual watermark
accrue,to reach or come to by way of increase to arise or spring up because of growth or result especially as the produce of money lent
acerbity,Sourness of taste with bitterness and astringency like that of unripe fruit
acetic,Of or pertaining to acetic acid or its derivatives
acidulous,Slightly sour sub-acid sourish
acknowledge,To own or recognize in a particular quality character or relationship to admit the claims or authority of to give recognition to
acme,A high point: the highest point of any range the most developed stage of any process or the culmination of any field or historical period
acne,A skin condition usually of the face that is common in adolescents
acoustics,"acoustics 
See -ics regarding the treatment of such nouns as singular"
acquiesce,) To rest satisfied or apparently satisfied or to rest without opposition and discontent  to accept or consent by silence or by omitting to object
acquittal,A legal decision that someone is not guilty with which they have been charged or the formal dismissal of a charge by some other legal process
acrid,Sharp and harsh or bitter and not to the taste
acrimonious,Angry acid and sharp in delivering argumentative replies: bitter mean-spirited sharp in language or tone
acrophobia,phobia or strong fear of being high above ground level
actuarial,Relating to statistical calculation especially pertaining to insurance
actuary,A professional who calculates financial values associated with uncertain events subject to risk such as insurance premiums or pension contributions
actuate,To activate or to put into motion to animate
acuity,Sharpness or acuteness as of a needle wit etc
acumen,Quickness of perception or discernment penetration of mind the faculty of nice discrimination
acute,Of an abnormal condition of recent or sudden  onset in contrast to delayed onset this sense does not imply severity unlike the common usage
adage,An old saying which has been overused or considered a cliché a trite maxim
adamant,An imaginary rock or mineral of impenetrable hardness a name given to the diamond and other substances of extreme hardness
adapt,To make by altering or fitting something else to produce by change of form or character
addendum,The height by which the tooth of a gear projects beyond  the standard pitch circle or pitch line
addiction,A state that is characterized by compulsive drug use or compulsive engagement in rewarding behavior despite negative consequences
addle,To cause fertilised eggs to lose viability by killing the developing embryo within through shaking piercing freezing or oiling without breaking the shell
address,To direct speech to to make a communication to whether spoken or written to apply to by words as by a speech petition etc
adept,One fully skilled or well versed in anything a proficient
adhere,To stick fast or cleave as a glutinous substance does to become joined or united
adherent,A person who has membership in some group association or religion
adjacent,Something that lies next to something else especially the side of a right triangle that is neither the hypotenuse nor the opposite
adjoin,To extend an algebraic object  by adding to it  and all finite power series of
adjourn,To defer to put off temporarily or indefinitely
adjunct,An optional  or structurally dispensable part of a sentence clause or phrase that if removed or discarded will not structurally affect the remainder of the sentence
adjuration,A grave warning
adjutant,Any bird of the genus Leptoptilos a branch of the stork family  native to India and Southeast Asia
admonish,To inform or notify of a fault to rebuke gently or kindly but seriously to tell off
adore,To love with one's entire heart and soul regard with deep respect and affection
adorn,To make more beautiful and attractive to decorate
adroit,Deft dexterous or skillful
adulation,Flattery fulsome praise
adulterate,Tending to commit adultery relating to or being the product of adultery adulterous
Advent,The period or season of the Christian church year between Advent Sunday and Christmas
adventitious,Developing in an unusual place or from an unusual source
adversary,An opponent or rival
adverse,Unfavorable antagonistic in purpose or effect hostile actively opposing one's interests or wishes contrary to one's welfare acting against working in an opposing direction
adversity,The state of adverse conditions state of misfortune or calamity
advert,To turn attention to to take notice of
advocacy,the act of arguing in favour of or supporting someone or something
advocate,To plead in favour of to defend by argument before a tribunal or the public to support vindicate or recommend publicly
aegis,A mythological shield associated with the Greek deities Zeus and Athena  shown as a short cloak made of goatskin worn on the shoulders more as an emblem of power and protection than a military shield
aerie,A local chapter of the Fraternal Order of Eagles
aery,aerial ethereal incorporeal visionary
aesthetic,The artistic motifs defining a collection of things especially works of art more broadly their vibe
affable,Receiving others kindly and conversing with them in a free and friendly manner friendly courteous sociable
affected,Resulting from a mostly negative physical effect or transformation
affidavit,A signed document wherein an affiant makes a sworn statement
affiliation,A club society or umbrella organisation so formed especially a trade union
affinity,tendency to keep a task running on the same processor in a symmetric multiprocessing operating system to reduce the frequency of cache misses
affirmation,The solemn declaration made by Quakers and others incapable of taking an oath
affliction,Something which causes pain suffering distress or agony
affluence,An abundant flow or supply
affront,An open or intentional offense slight or insult
afterlife,The events or situations that result from a particular event the later reception consumption or reworking of a cultural production such as a film book etc
agape,A love feast especially one held in the early Christian Church in connection with the Eucharist
agenda,A notebook used to organize and maintain such plans or lists an agenda book an agenda planner
agglomeration,An extended city area comprising the built-up area of a central city and any suburbs linked by continuous urban area
aggrandize,To make great or greater in power rank honor or wealth
aggregate,Solid particles of low aspect ratio added to a composite material as distinguished from the matrix and any fibers or reinforcements especially the gravel and sand added to concrete
aghast,Terrified struck with amazement showing signs of terror or horror
agility,The quality of being agile the power of moving the limbs quickly and easily quickness of motion
agitate,To revolve in the mind or view in all its aspects to consider to devise
agnostic,Of a software component etc
agog,In a state of high anticipation excitement or interest
agrarian,Of or relating to the ownership tenure and cultivation of land
airy,Having an affected manner being in the habit of putting on airs affectedly grand
alacrity,Eagerness liveliness enthusiasm
alchemy,The premodern and early modern study of physical changes particularly in Europe Arabia and China and chiefly in pursuit of an elixir of immortality a universal panacea and/or a philosopher's stone able to transmute base metals into gold eventually developing into chemistry
alcove,A small recessed area set off from a larger room
alias,Used to connect the different names of a person who has gone by two or more and whose true name is for any cause doubtful
alienate,To estrange to withdraw affections or attention from to make indifferent or averse where love or friendship before subsisted
alimentary,Of or relating to food nutrition or digestion
alimony,A court-mandated allowance made to a former spouse by a divorced or legally separated person
allay,To make quiet or put at rest to pacify or appease to quell to calm
allege,To make a claim as justification or proof to make an assertion without proof
allegiance,Loyalty to some cause nation or ruler
allegory,A category that retains some of the structure of the category of binary relations between sets representing a high-level generalisation of that category
alleviate,To reduce or lessen the severity of a pain or difficulty
alliteration,The repetition of consonant sounds at the beginning of two or more words immediately succeeding each other or at short intervals
allocate,To distribute according to a plan generally followed by the adposition to
alloy,A metal that is a combination of two or more elements at least one of which is a metal
allude,To refer to something indirectly or by suggestion
allure,The walkway along the top of a castle wall sometimes entirely covered and normally behind a parapet the wall walk
alluvial,A deposition of sediment over a long period of time by a river an alluvial layer
alms,Something given to the poor as charity such as money clothing or food
aloft,In the top at the masthead or on the higher yards or rigging
aloof,At or from a distance but within view or at a small distance apart away
altercation,Heated or angry dispute
altruistic,Regardful of others beneficent unselfish
amalgam,One of the ingredients in an alloy
amalgamate,To combine  by identifying respective isomorphic subgroups
amass,A large number of things collected or piled together
amazon,A fairy chess piece which combines the moves of the queen and the knight
ambidextrous,Having equal ability in both hands in particular able to write equally well with both hands
ambience,Alternative spelling of ambiance
ambiguous,Hesitant uncertain not taking sides
ambivalence,The coexistence of opposing attitudes or feelings  towards a person object or idea
amble,Of a quadruped: to move along by using both legs on one side and then the other
ambrosia,"Any fungus of a number of species that insects such as ambrosia beetles carry as symbionts ""farming"" them on poor-quality food such as wood where they grow providing food for the insect"
ambulatory,Performed on or involving an ambulatory patient or an outpatient
ambush,The troops posted in a concealed place for attacking by surprise those who lie in wait
ameliorate,To make better or improve something perceived to be in a negative condition
amenable,Being a locally compact topological group carrying a kind of averaging operation on bounded functions that is invariant under translation by group elements
amend,To make a formal alteration  by adding deleting or rephrasing
amenities,The quality of being pleasant or agreeable whether in respect to situation climate manners disposition etc
amiable,Of a pleasant and likeable nature kind-hearted easy to like
amicable,Showing friendliness or goodwill
amiss,Wrong faulty out of order improper or otherwise incorrect
amity,Friendship
amnesia,Loss of memory forgetfulness
amnesty,An act of the sovereign power granting oblivion or a general pardon for a past offense as to subjects concerned in an insurrection
amok,One who runs amok in Malay and Moro/Philippine culture one who attempts to kill many others especially expecting that they will be killed themselves
amorality,The metaethical belief that nothing is morally right or morally wrong that morality does not exist
amorous,Inclined or having a propensity to love or to sexual enjoyment
amorphous,In the non-crystalline solid state of a typically crystalline solid
amphibian,An animal of the Amphibia any four-legged vertebrate that does not have amniotic eggs living both on land and in water
amphitheater,American spelling form of amphitheatre
ample,Large great in size extent capacity or bulk for example spacious roomy or widely extended
amplify,To add content that is not present in the source text to the target text usually to improve the fluency of the translation
amputate,To surgically remove a part of the body especially a limb
amuck,Alternative form of amok
amulet,A kind of protective charm or ornament often bearing magical symbols worn for protection against ill will negative influences or evil spirits
anachronism,A chronological mistake the erroneous dating of an event circumstance or object
analgesia,The inability to feel pain
analgesic,Any medicine such as aspirin that reduces pain especially without inducing a loss of other sensation
analogous,Functionally similar but arising through convergent evolution rather than being homologous
analogy,The correspondence of a word or phrase with the genius of a language as learned from the manner in which its words and phrases are ordinarily formed similarity of derivative or inflectional processes
anarchist,One who believes in or advocates the absence of hierarchy and authority in most forms  especially one who works toward the realization of such
anarchy,Anarchism the political theory that a community is best organized by the voluntary cooperation of individuals rather than by a government which is regarded as being coercive by nature
anathema,A ban or curse pronounced with religious solemnity by ecclesiastical authority often accompanied by excommunication something denounced as accursed
ancestry,A series of ancestors or progenitors lineage or those who compose the line of natural descent
anchor,Any instrument serving a purpose like that of a ship's anchor such as an arrangement of timber to hold a dam fast a device to hold the end of a bridge cable etc
ancillary,Something that serves an ancillary function such as an easel for a painter
anecdote,An account which supports an argument but which is not supported by scientific or statistical analysis
anemia,A medical condition in which the capacity of the blood to transport oxygen to the tissues is reduced either because of too few red blood cells or because of too little hemoglobin resulting in pallor and fatigue
anesthetic,A substance administered to reduce the perception of pain or to induce numbness for surgery and may render the recipient unconscious
anguish,Extreme pain either of body or mind excruciating distress
angular,A bone in the base of the lower jaw of many birds reptiles and fishes
animadversion,The state or characteristic of being animadversive
animated,Composed of inanimate objects or drawings that appear to move through the use of computer graphics or stop-action filming
animosity,Violent hatred leading to active opposition active enmity energetic dislike
animus,The basic impulses and instincts which govern one's actions
annals,A relation of events in chronological order each event being recorded under the year in which it happened
anneal,To subject to great heat and then  cooling and sometimes reheating and further cooling for the purpose of rendering less brittle to temper to toughen
annex,An addition to the territory of a country or state from a neighbouring country or state normally by military force
annihilate,To react with antimatter producing gamma radiation and  lighter particles
annotate,To add annotation to
annuity,A right to receive amounts of money regularly over a certain fixed period in perpetuity or especially over the remaining life or lives of one or more beneficiaries
annul,To dissolve  on the grounds that it is not valid
anodyne,noncontentious blandly agreeable unlikely to cause offence or debate [from 20th c
anoint,To choose or nominate somebody for a leading or otherwise important position especially formally or officially or as an intended successor
anomalous,Deviating from the normal marked by incongruity or contradiction aberrant or abnormal
anomaly,Any event or measurement that is out of the ordinary regardless of whether it is exceptional or not
anonymity,The quality or state of being anonymous
antagonism,A strong natural dislike or hatred antipathy
antecede,To go before to precede
antecedent,The conditional part of a hypothetical proposition i
antediluvian,Pertaining or belonging to the time period prior to a great or destructive flood or deluge
anthem,A choral or vocal composition often with a religious or political lyric
anthology,A collection of literary works such as poems or short stories especially a collection from various authors
anthropoid,having characteristics of a human usually in terms of shape or appearance
anthropologist,An expert in anthropology
anthropomorphic,Having attributes or characteristics of a human being
anticlimax,A failed or reverse climax particularly:
antidote,Something that counteracts or prevents something harmful
antipathy,A feeling of dislike  repugnance or distaste often without any conscious reasoning
antiquated,old-fashioned out of date
antique,Having existed in ancient times descended from antiquity used especially in reference to Greece and Rome
antiquity,A relic or monument of ancient times such as a coin a statue etc
antiseptic,Any substance that inhibits the growth and reproduction of microorganisms
antithesis,A device by which two contrasting ideas are juxtaposed in parallel form a figure of speech arranged in this manner
antler,A branching and bony structure on the head of deer moose and elk normally in pairs
anvil,A heavy iron block used in the blacksmithing trade as a surface upon which metal can be struck and shaped
apathy,Lack of emotion or motivation lack of interest or enthusiasm towards something disinterest
ape,A primate of the clade Hominoidea generally larger than monkeys and distinguished from them by having no tail
aperture,The  large-diameter antenna used for receiving and transmitting radio frequency energy containing the data used in communication satellites especially in the geostationary belt
apex,The highest or the greatest part of something especially forming a point
aphasia,A partial or total loss of language skills due to brain damage
aphorism,A concise terse laconic or memorable expression of a general truth or principle
apiarist,apiarist
apiary,A place where bees and their hives are kept
apiculture,The keeping and maintenance of bees for commercial reasons
aplomb,The apparent elegance and precision exhibited by a confident accomplished dancer
apocalyptic,Of or relating to an apocalypse:
apocryphal,Of dubious veracity of questionable accuracy or truthfulness anecdotal or in the nature of an urban legend
apogee,The point in an orbit about the Earth that is farthest from the Earth: the apoapsis of an Earth orbiter
apolitical,Politically neutral unbiased non-aligned free from party politics
apologist,One who speaks or writes in defense of a faith a cause or an institution
apophthegm,Alternative spelling of apothegm
apoplexy,Unconsciousness or incapacity resulting from a cerebral hemorrhage or stroke
apostate,One who after having received sacred orders renounces his clerical profession
apothecary,A person who makes and provides/sells drugs and/or medicines
apothegm,A short witty instructive saying an aphorism or maxim
apotheosis,The latent entity that mediates between a person's psyche and their thoughts
appall,To grow faint to become weak to become dismayed or discouraged
apparent,Capable of being seen or easily seen open to view visible to the eye eyely within sight or view
apparition,A period of consecutive days or nights when a particular celestial body may be observed beginning with the heliacal rising of the body and ending with its heliacal setting
appease,To make quiet to calm to reduce to a state of peace to dispel
appellation,A geographical indication for wine that describes its geographic origin
append,To write more data to the end of a pre-existing file string or other object
application,The act of directing or referring something to a particular case to discover or illustrate agreement or disagreement fitness or correspondence
apposite,Positioned at rest in respect to another be it side-to-side front-to-front back-to-back or even three-dimensionally: in apposition
appraise,To determine the value or worth of something particularly as a person appointed for this purpose
appreciate,To be fully conscious of understand be aware of detect
apprehend,apprehend
apprehensive,Perceptive quick to learn capable of understanding using one's intellect
apprise,To notify or to make aware to inform
approbation,The act of approving an assenting to the propriety of a thing with some degree of pleasure or satisfaction approval sanction commendation or official recognition
appropriate,Suitable to the social situation or to social respect or social discreetness socially correct socially discreet well-mannered proper
appurtenance,A subordinate interest in land which benefits a principal estate which cannot be detached from or held separately to that estate an appurtenant interest
apropos,Of an appropriate or pertinent nature
aptitude,Natural ability to acquire knowledge or skill
aquiline,Of pertaining to or characteristic of eagles resembling that of an eagle
arable,Under cultivation  for the production of crops sown and harvested within the same agricultural year
arbiter,A person or object having the power of judging and determining or ordaining without control one whose power of deciding and governing is not limited
arbitrary,Based on individual discretion or judgment not based on any objective distinction perhaps even made at random
arbitrate,To assign an arbitrary value to or otherwise determine arbitrarily
arboreal,Of relating to or resembling a tree
arboretum,A place where many varieties of tree are grown for research educational and ornamental purposes
arcade,A covered passage usually with shops on both sides
arcane,Requiring secret or mysterious knowledge to understand
arch,An arch-shaped arrangement of trapezoidal stones designed to redistribute downward force outward
archaeology,The study of the past by excavation and analysis of its material remains:
archaic,No longer in ordinary use though still used occasionally to give a sense of antiquity and are still likely to be understood by well educated speakers and are found in historical texts
archetype,According to Swiss psychologist Carl Jung: a universal pattern of thought present in an individual's unconscious inherited from the past collective experience of humanity
archipelago,Something scattered around like an archipelago
archives,Third-person singular simple present indicative form of archive
ardor,Great warmth of feeling fervor passion
arduous,Needing or using up much energy testing powers of endurance
argot,The specialized informal vocabulary and terminology used between people with special skill in a field such as between doctors mathematicians or hackers
aria,A musical piece written typically for a solo voice with orchestral accompaniment in an opera or cantata
arid,Describing a very dry climate
aristocracy,Government by such a class or a state with such a government
